and	oraz
hosted	organizowane
hosted	gospodarzem
programming	programowania
programming	programowanie
sri	sri
railroad	kolej
unique	unikalne
unique	unikatowe
unique	unikalny
unique	wyjątkowy
unique	niepowtarzalny
defined	zdefiniowano
defined	zdefiniowane
defined	określonych
defined	zdefiniowana
defined	zdefiniowany
defined	zdefiniowanych
ocean	oceanu
ocean	ocean
cell	cela
cell	celi
missouri	missouri
concert	koncert
improve	poprawy
improve	poprawa
biography	biografia
biography	życiorys
biography	biografię
loan	kredyt
loan	pożyczka
loan	pożyczki
contact	kontakt
contact	kontakty
holy	święty
holy	święte
tennessee	tennessee
sub	sub
safety	bezpieczeństwa
safety	bezpieczeństwo
stephen	stephen
stephen	stefan
stephen	stephena
policies	polityki
painting	obraz
painting	malarstwo
painting	malowanie
price	ceny
price	price
price	cena
mexican	meksykanie
mexican	meksykańskie
mexican	meksykański
mexican	meksykańska
leadership	przewodnictwo
leadership	kierownictwo
leadership	przywództwa
leadership	przywódcy
leadership	przywództwo
flying	latające
flying	pływające
flying	latający
flying	latanie
message	komunikat
message	wiadomość
message	wiadomości
municipal	komunalnych
serious	poważna
serious	poważne
serious	poważny
headquarters	siedziba
officially	oficjalnie
cemetery	cmentarzu
cemetery	cmentarz
memory	pamięć
memory	wspomnienia
memory	wspomnienie
memory	pamięci
fields	fields
fields	pola
generation	pokolenie
generation	wytwarzanie
generation	generacja
generation	generowanie
join	dołącz
copies	kopie
copies	egzemplarze
finals	finale
finals	finały
fox	lisie
fox	fox
fox	lis
continues	trwa
continues	kontynuuje
representative	reprezentatywna
representative	przedstawiciel
representative	reprezentatywne
representative	przedstawiciela
destroyed	zniszczona
destroyed	zniszczone
destroyed	zniszczony
feet	stóp
feet	stopy
guy	facet
guy	guy
guy	gość
philippines	filipiny
revealed	ujawnione
revealed	ujawniono
revealed	wykazało
revealed	ujawnił
revealed	ujawniła
revealed	ujawniło
organized	zorganizowany
organized	zorganizowanej
organized	zorganizowane
organized	zorganizowana
serves	służy
serves	serwuje
conservative	konserwatywny
share	udostępnić
share	udostępnianie
share	udział
maria	mario
maria	marii
maria	maria
disease	choroba
disease	choroby
sections	odcinki
sections	sekcje
philosophy	filozofia
philosophy	filozofii
ways	sposoby
arrived	dotarły
arrived	przybyła
arrived	przybyli
arrived	przybył
divided	podzielona
divided	dzielone
divided	podzielone
divided	podzielony
floor	piętrze
floor	piętro
floor	podłoga
logo	logo
meets	spotyka
meets	spełnia
yard	yard
yard	stocznia
yard	podwórko
cancer	nowotwory
cancer	raka
cancer	rak
cancer	nowotwór
offer	ofertę
offer	oferta
offer	oferty
tax	podatki
tax	podatek
expected	oczekiwane
expected	spodziewane
expected	oczekiwano
expected	oczekiwany
expected	oczekiwać
traffic	ruch
traffic	korki
concerns	obawy
concerns	dotyczy
guest	goście
guest	gość
jews	żydów
jews	żydzi
formation	formacja
formation	szyk
formation	formacji
meant	oznaczało
meant	znaczyło
economy	gospodarka
economy	gospodarki
economy	ekonomia
storm	burza
storm	storm
storm	sztorm
tells	opowiada
mile	mile
mile	mila
protected	chroniony
protected	chroniona
protected	chronione
protected	zabezpieczone
bowl	miski
bowl	bowl
bowl	miska
letters	pisma
letters	liter
letters	listy
letters	litery
providing	dostarczając
classic	klasyk
classic	klasyka
classic	klasyczny
classic	classic
classic	klasyczne
damage	zniszczenia
damage	uszkodzenie
damage	szkody
damage	uszkodzenia
harry	harrego
harry	harry
offers	ofert
offers	oferty
davis	davis
davis	davisa
challenge	wyzwanie
challenge	challenge
challenge	wyzwania
views	poglądy
views	wyświetlenia
views	widoki
marked	oznaczone
marked	oznaczono
marked	zaznaczone
marked	oznaczony
allows	pozwala
allows	umożliwia
density	gęstości
density	gęstość
literary	literackie
htm	htm
ben	bena
ben	ben
transportation	przewóz
transportation	transportu
transportation	dojazd
transportation	transport
kentucky	kentucky
sales	sprzedaż
sales	sprzedaży
fleet	flota
fleet	floty
supporting	wspieranie
captured	złapany
captured	złapana
captured	złapani
captured	schwytany
extra	dodatkowa
extra	ekstra
extra	dodatkowe
extra	dodatkowy
extra	extra
recognized	rozpoznał
recognized	uznany
recognized	uznawane
recognized	uznane
recognized	uznana
arizona	arizonie
arizona	arizona
arizona	arizony
theme	temat
theme	motywu
theme	motyw
francis	franciszka
francis	francis
francis	franciszek
moscow	moskwy
moscow	moskwie
moscow	moskwa
interested	zainteresowanych
interested	zainteresowane
interested	zainteresowani
interested	zainteresowana
interested	zainteresowany
heard	słyszałem
behavior	zachowanie
behavior	zachowania
transferred	przeniesiony
transferred	przeniesiona
transferred	przeniesione
transferred	przeniesiono
environmental	środowiska
environmental	środowiskowe
blank	puste
blank	pusta
blank	pusty
musician	muzyk
assigned	przypisana
assigned	przydzielony
assigned	przypisano
assigned	przypisany
assigned	przypisane
seats	fotele
seats	siedzenia
tennis	tenis
percent	procent
logs	dzienniki
logs	kłody
display	wyświetlacz
display	wyświetlanie
display	wyświetlania
convention	konwencje
convention	konwencji
convention	konwent
convention	zjazd
convention	konwencja
ring	ring
ring	obrączka
ring	pierścień
ring	pierścionek
joint	joint
joint	wspólnego
joint	wspólny
joint	wspólna
brian	brian
brian	briana
deputy	zastępca
planned	zaplanowane
planned	planowana
planned	planowany
planned	planowane
planned	zaplanowany
universities	uniwersytety
universities	uniwersytetów
universities	uczelnie
yards	jardów
communist	komunistycznej
communist	komunistą
communist	komunistyczna
communist	komuniści
agent	agentka
agent	agencie
agent	agent
difference	różnica
difference	różnice
animal	zwierząt
animal	zwierzak
animal	zwierzęta
animal	zwierzę
czech	czech
czech	czeski
czech	czeskiej
czech	czeskie
czech	czeska
positions	stanowiska
positions	pozycje
exactly	dokładnie
exactly	dokladnie
stay	zostań
stay	zostać
titled	zatytułowany
combat	zwalczanie
combat	walce
combat	zwalczania
combat	walki
palace	pałac
palace	pałacu
palace	palace
card	kartka
card	karta
card	kartę
card	karty
card	wizytówka
opposition	opozycja
opposition	opozycji
opposition	sprzeciw
attempts	próby
understanding	zrozumienie
understanding	rozumienie
understanding	zrozumienia
wrestling	wrestling
wrestling	zapasy
critics	krytycy
critics	krytyka
critics	krytyków
growing	rosnące
growing	rośnie
growing	rosnący
growing	uprawa
growing	uprawy
establish	ustanowić
establish	ustalenie
hands	ręce
hands	dłonie
participated	uczestniczyło
participated	uczestniczył
participated	udział
participated	uczestniczyły
participated	uczestniczyła
poetry	poezji
poetry	poezja
poetry	wiersze
materials	materiały
turkish	turecka
turkish	tureckie
turkish	turecki
paid	płatny
paid	zapłacił
paid	płatne
promotion	promocja
promotion	promowanie
promotion	awans
promotion	promocji
promotion	promocje
apparently	najwidoczniej
apparently	najwyraźniej
apparently	widocznie
battalion	batalion
battalion	batalionu
mobile	mobile
mobile	mobilnej
mobile	mobilne
mobile	komórka
additions	uzupełnienia
row	rząd
row	wiersz
row	row
merged	połączone
merged	połączona
merged	łączone
metropolitan	metropolitan
figures	figury
figures	liczby
existence	istnienia
existence	występowanie
existence	istnienie
eye	eye
eye	oko
louisiana	luizjany
lewis	lewis
lewis	lewisa
melbourne	melbourne
austria	austrię
austria	austria
austria	austrii
brigade	brygada
brigade	brygady
screen	ekran
screen	ekranu
screen	ekranie
risk	ryzyka
risk	ryzyko
conducted	przeprowadzone
conducted	prowadzone
conducted	przeprowadzona
conducted	przeprowadzony
conducted	prowadzona
ban	ban
ban	zablokuj
ban	zakazu
ban	zakaz
legislative	legislacyjnych
definition	definicja
definition	definicji
definition	definicje
indeed	rzeczywiście
draw	remis
draw	losowanie
draw	rysować
draw	wyciągnąć
application	podanie
application	zastosowanie
application	aplikacja
steel	stal
steel	stalowe
steel	stali
presence	obecność
presence	występowanie
expansion	rozszerzenie
expansion	rozbudowa
expansion	ekspansji
earl	earl
earl	earla
earl	hrabia
max	max
max	maks
wild	wild
wild	dziki
wild	dziko
wild	dzika
wild	dzikie
planning	planowania
planning	planowanie
comic	komiks
comic	comic
adopted	przyjęty
adopted	przyjęta
adopted	adoptowany
adopted	przyjęto
adopted	przyjęte
easy	łatwy
easy	łatwe
easy	łatwo
easy	easy
plus	plus
plus	dodatkowo
happy	zadowolona
happy	szczęśliwi
happy	wszystkiego
happy	szczęśliwa
happy	szczęśliwy
happy	zadowolony
acts	aktów
acts	akty
classes	zajęcia
classes	klas
classes	klasy
iowa	iowa
grew	rósł
save	uratować
save	zachowaj
save	zapisać
save	zapisz
wins	wygrane
wins	wygrywa
wins	wygra
wins	wygrywają
theater	teatrze
theater	teatr
exists	istnieje
roles	ról
roles	rolach
roles	role
chance	szansę
chance	szanse
chance	chance
chance	szansa
prevent	zapobiegać
prevent	zapobiec
candidates	kandydaci
candidates	kandydatów
object	przedmiot
object	obiekt
object	obiekty
object	obiektu
felt	czuł
felt	czuła
felt	czułem
powers	uprawnienia
powers	moce
powers	uprawnień
powers	powers
powers	kompetencje
birds	ptaki
birds	ptaków
birds	ptaszki
defeat	porażki
defeat	klęska
defeat	przegrana
defeat	pokonać
defeat	porażka
cape	cape
identified	zidentyfikowane
identified	zidentyfikowano
identified	zidentyfikowany
identified	stwierdzone
gained	zdobyte
regions	regiony
regions	rejony
regions	regionów
mine	mine
mine	kopalnia
mine	moja
mine	mój
mine	moje
sides	boki
jul	jul
showing	wyświetlanie
showing	pokazanie
showing	pokazywanie
showing	pokazuje
teaching	nauczanie
teaching	uczenie
teaching	nauczania
guidelines	wytycznymi
guidelines	wytycznych
guidelines	wytyczne
simon	szymon
simon	simon
depth	głębokość
depth	głębokości
lyrics	teksty
christmas	gwiazdka
christmas	święta
declined	odmówił
declined	odrzucona
greece	grecji
greece	grecja
express	ekspres
express	express
express	ekspresowe
federation	federacji
federation	federacja
voivodeship	województwo
journalist	dziennikarstwo
journalist	dziennikarz
journalist	dziennikarka
intelligence	wywiad
intelligence	wywiadu
intelligence	inteligencja
occurred	wystąpiło
occurred	wystąpiły
connection	związku
connection	podłączenie
connection	powiązanie
connection	połączenie
connection	połączenia
displayed	wyświetlane
displayed	wyświetlony
displayed	wyświetlana
displayed	wyświetlone
portuguese	portugalii
portuguese	portugalski
portuguese	portugalska
portuguese	portugalskie
portuguese	portugalskim
constitution	konstytucji
constitution	konstytucja
constitution	konstytucję
presidential	prezydenckie
presidential	prezydenckich
presidential	prezydencki
standing	stałego
standing	stały
standing	stojący
standing	stoi
standing	stojąc
sons	synowie
sons	synów
plot	działka
plot	spisek
plot	działki
dates	randki
dates	terminy
dates	daty
firm	firma
firm	kancelaria
proper	właściwa
proper	właściwe
ends	kończy
ends	końce
pilot	pilocie
pilot	pilot
relatively	stosunkowo
relatively	względnie
receive	otrzymywać
receive	odbierać
receive	otrzymać
educated	wykształcony
opposed	przeciwieństwo
manchester	manchesteru
manchester	manchester
queensland	queensland
americans	amerykanie
americans	amerykanów
introduction	wprowadzanie
introduction	wstęp
introduction	wprowadzenie
directors	dyrektorów
directors	dyrektorzy
vehicle	pojazd
vehicle	pojazdy
vehicle	nośnik
vehicle	pojazdu
stock	zasoby
stock	zapasy
stock	zapasów
stock	akcje
vehicles	pojazdy
israeli	izraela
frequently	często
hills	wzgórza
hills	hills
performing	wykonywanie
performing	wykonywania
northwest	northwest
drug	lek
drug	narkotyków
drug	narkotyk
drug	narkotyki
visit	odwiedziny
visit	wizyta
visit	wizyty
portion	porcji
portion	porcja
residence	rezydencja
walter	waltera
walter	walter
pov	pov
interesting	interesujące
interesting	ciekawe
interesting	interesujący
interesting	ciekawie
moon	księżyca
moon	moon
moon	księżycu
moon	księżyc
limit	granica
limit	ograniczenie
limit	limit
minute	minuta
minute	minutę
minute	minute
bell	dzwonek
bell	dzwon
bell	bell
athletics	lekkoatletyka
reduced	zmniejszone
reduced	skrócony
reduced	obniżona
reduced	zmniejszona
reduced	zmniejszony
wind	wiatru
wind	wiatry
wind	wiatr
wind	wietrze
oklahoma	oklahoma
architect	architektem
architect	architekta
architect	architekt
ideas	pomysły
ideas	idee
ideas	pomysłów
ideas	koncepcje
electronic	elektroniczne
electronic	elektroniczna
electronic	elektroniczny
crown	koronę
crown	crown
crown	korony
crown	korona
younger	młodsza
younger	młodsi
younger	młodszy
younger	młodsze
anderson	anderson
anderson	andersona
step	step
step	krok
weapons	broń
weapons	uzbrojenie
weapons	broni
weapons	bronie
neutral	neutralny
neutral	obojętny
neutral	neutralne
connected	podłączone
connected	powiązane
connected	połączony
connected	połączone
connected	związane
switzerland	szwajcarii
switzerland	szwajcaria
armed	uzbrojone
armed	uzbrojona
armed	uzbrojeni
armed	uzbrojony
weekly	tygodniowy
weekly	tydzień
weekly	tygodniowo
weekly	tygodniowe
rating	rating
rating	ocena
rating	ranking
programme	programu
programme	program
squad	oddział
multi	multi
dynasty	dynastia
dynasty	dynastii
cold	zimno
cold	chłód
cold	zimne
cold	zimny
cold	zimna
granted	udzielone
granted	przyznana
granted	przyznane
granted	przyznany
granted	przyznano
socorro	socorro
alliance	sojusz
alliance	sojuszu
alliance	przymierze
methods	sposoby
methods	metody
methods	metod
sam	sama
sam	sam
alabama	alabamie
alabama	alabamy
albert	alberta
albert	albert
albert	albercie
tropical	tropikalnych
tropical	tropikalne
vietnam	wietnam
dvd	dvd
heat	upał
heat	heat
heat	ciepło
heat	gorąco
heat	ciepła
fans	fani
fans	fanów
fans	wentylatory
fans	kibice
credit	kredytu
credit	kredyt
credit	credit
commons	commons
boat	łodzi
boat	łódka
boat	łódź
boxes	skrzynie
boxes	skrzynki
boxes	pudełka
boxes	pudła
ethnic	etnicznych
ethnic	etniczne
speaking	mówiąc
speaking	mówienie
fell	spadł
fell	spadła
fell	upadła
fell	upadł
arena	arena
arena	arenę
arena	arenie
roads	dróg
roads	drogi
core	rdzeń
core	rdzenia
core	jądro
dog	psie
dog	psy
dog	pies
dog	piesek
kill	zabij
kill	kill
athletic	athletic
oldest	najstarszych
oldest	najstarsze
oldest	najstarszy
oldest	najstarsza
negative	negatywne
negative	negatywny
confirmed	potwierdzona
confirmed	potwierdzam
confirmed	potwierdzono
confirmed	potwierdzone
sixth	szóstej
sixth	szóste
sixth	szósta
sixth	szósty
edge	edge
edge	krawędź
edge	krawędzi
jesus	jezu
jesus	jezus
tools	narzędzia
colonel	pułkowniku
colonel	pułkownik
weak	słaby
weak	słabo
weak	słaba
weak	słabe
chosen	wybrany
chosen	wybrano
chosen	wybrane
chosen	wybrani
chosen	wybrana
brand	brand
brand	marka
brand	markę
brand	marki
nfl	nfl
rise	powstań
supply	zaopatrzenie
supply	dostaw
supply	podaż
tradition	tradycję
tradition	tradycja
tradition	tradycji
tradition	tradycje
elementary	podstawowy
elementary	podstawowej
household	domowych
spirit	duchu
spirit	ducha
spirit	duch
spirit	spirit
task	zadanie
slightly	nieznacznie
slightly	lekko
slightly	nieco
howard	howard
incident	incydent
develop	rozwinąć
sunday	sunday
sunday	niedziela
sunday	niedzielny
discuss	omówić
discuss	dyskutować
discuss	przedyskutować
stats	statystyki
stats	statystyka
climate	klimat
topics	tematy
purchased	kupione
purchased	kupiony
purchased	zakupione
communications	komunikaty
communications	łączności
communications	komunikacja
communications	komunikacji
communications	łączność
chapter	rozdział
broken	rozbite
broken	złamane
broken	łamane
broken	złamana
broken	złamany
singapore	singapuru
situated	położony
license	licencja
license	licencji
license	licencje
haven	haven
deaths	zmarli
deaths	zgony
passing	przechodząc
passing	mijania
citizens	obywatele
citizens	obywateli
citizens	obywatelami
guns	broń
guns	pistolety
guns	bronie
trees	drzewa
gone	odszedł
greatest	najwspanialszy
greatest	największe
greatest	największy
improved	poprawiony
improved	poprawy
improved	poprawione
visual	wizualne
pope	papież
pope	pope
pope	papieża
officials	urzędników
officials	urzędnicy
sat	siedział
sat	usiadł
sat	sat
glass	szkła
glass	szklanka
glass	szkło
glass	szklana
miller	miller
miller	millera
posted	wysłany
posted	opublikowane
posted	opublikowano
posted	opublikował
posted	zamieszczone
estimated	szacowana
estimated	szacowany
estimated	szacunkowy
contain	zawiera
contain	zawierają
contain	zawierać
brazilian	brazylii
